el,en
penalty,ποινή
pence,100 = 1 λίρα
pencil,μολύβι
pencil eyebrowed,γαϊτανοφρυδάτος
pencil sharpener,ξύστρα
pending,εκκρεμής
penetrant inspection,μελέτη διεισδυτικότητας
penetrate,εισχωρώ
penetrating,διεισδυτικός
penetration,διείσδυση
pen-friend,φίλος αλληλογραφίας
penguin,πιγκουϊνος
penicillin,πενικιλλίνη
pen in,μαντρώνω
peninsula,χερσόνησος
penitentiary,σωφρονιστήριο
penname,ψευδώνυμο
penniless,λιγούρης
penny,100 = 1 λίρα
pen pal,φίλος αλληλογραφίας
pen-pal,φίλος αλληλογραφίας
pension,συνταγή
pensioner,συνταξιούχος
pensive,σκεπτικός
pentagram,πεντάγραμμα
Pentecost,Πεντηκοστή
pentecost,Πεντηκοστή
pent up,συγκρατημένος
penult,παραλήγουσα
penultimate,προτελευταίος
people,άνθρωπος
people were crushed to death,καταπατήθηκαν
people who suffer from,πάσχοντες
pep,σφρίγος
pepper,πιπεριά
per,κάθε
perceive,διαβλέπω
percent,τοις εκατόν
percentage,ποσοστό
perceptible,αισθητός
perception,αντίληψη
perceptive,παρατηρητικός
perch,κούρνια
perched waters,μετέωρα ύδατα
peregrine,πετρίτης
perfect,τέλειος
perfection,τελειοποίηση
perfectly,τέλεια
perfect tense,παρακείμενος
perfidious,επίβουλος
perforate,διατρυπώ
perform,δίνω παράσταση
performance,απόδοση
perform better,βελτιώνω την απόδοση
performer,καλλιτέχνης
performing world,κόσμος παραστάσεων
perfume,άρωμα
perhaps,μπορεί
perilous,επικίνδυνος
period,περίοδος
periodically,περιοδικά
period of inactivity,περιόδος αδρανείας
period of transition,μεταβατική περίοδος
period of war,εποχή πολέμου
periods,περιόδοι
peripheral,περιφερειακός
peripheral nervous system,περιφερειακό νευρικό σύστημα
peripherals,περιφερειακά υπολογιστή
periphery,περιφέρεια
perish,χάνομαι
periwinkle,λιτταρίνη
perjure,ψευδορκώ
perjurer,επίορκος
perjury,ψευδορκία
permafrost,ζώνη μονίμου παγετώνας
permanent,περμανάντ
permanently,μόνιμα
permeability,διαπερατότητα
permeable,περατός
permeate,διαποτίζω
permission,άδεια
permissive society,κοινωνία της αντοχής
permit,άδεια
permit for,γραπτή άδεια
pernicious,ολέθριος
perpetrate,διαπράττω
perpetrator,δράστης
perpetual,παντοτινός
perpetually,αιώνια
perpetuity,αιωνιότητα
perplexed,σαστισμένος
persecute,καταδιώκω
persecution,διωγμός
persevere,εμμένω
persevering,επιμελής
persist,επιμένω
persistence,επιμονή
persistent,διαρκής
person,πρόσωπο
personable,ευπαρουσίαστος
personal,προσωπικός
personalised,ατομικός
personality,προσωπικότητα
personally,προσωπικά
personification,ενσάρκωση
personify,προσωποποιώ
Personnel Manager,διευθυντής προσωπικού
personnel manager,διευθυντής προσωπικού
persons,άνθρωποι
perspective,άποψη
perspicacious,διορατικός
perspicacity,διορατικότητα
perspiration,ιδρώτας
perspire,ιδρώνω
persuade,πείθω
persuasion,πειθώ
pert,αυθάδης
pertaining to,που έχει σχέση με
pertaining to companies,σχετικά με επιχειρήσεις
pertinaceous,επίμονος
pertly,αυθαδώς
perturbed,ανταριασμένος
pertussis,κοκίτης
pervade,διαποτίζω
pesky,ενοχλητικός
pessary,πεσσός
pessimism,απαισιοδοξία
pessimistic about,απαισιόδοξος για
pester,τριβελίζω
pesticide,εντομοκτόνο
pet,θωπεύω
petal,πέταλο
petri dish,δίσκος καλλιέργειας
petrified,παραλυμένος
petrify,απολιθώνω
petrol,βενζίνη
petroleum jelly,βαζελίνη
petrol fumes,αναθυμιάσεις βενζίνης
petrol gauge,μετρητής βενζίνης
petrol guage,δείκτης βενζίνης
petrology,πετρολογία
petrol pump,αντλία βενζίνης
petrol tank,ντεπόζιτο
petrol tanker,βυτιοφόρο
petticoat,μεσοφόρι
pettishly,δύστροπα
petty,μικροπρεπής
petty offence,πταίσμα
petulant,οξύθυμος
petunia,πετούνια
pewterer,γανωτής
phagocyte,φαγοκύτταρο
pharmaceutical,φαρμακευτικός
pharmacist,φαρμακοποιός
pharmacy,φαρμακείο
phase,φάση
phase shift keying,διαμόρφωση μετατόπισης φάσης
pheasant,φασιανός
phenomenal,φαινομενικός
phenomenon phenomena,φαινόμενο
philharmonic,φιλαρμονικός
philologist,φιλόλογος
philosopher,φιλόσοφος
philosophical,φιλοσοφικός
philosophy,φιλοσοφία
phlegm,ροχάλα
phlegmatic,φλεγματικός
phlegmonic,φλεγμονώδης
phoenix,φοίνιξ
phone bill,λογαριασμός τηλέφωνου
phonetic,φωνητικός
photo,φωτογραφία
photograph,φωτογραφίζω
photograph album,λεύκωμα φωτογράφων
photographer,φωτογράφος
photographer's studio,στούντιο
photographic,φωτογραφικός
photography,φωτογραφία
photosynthesis,φωτοσύνθεση
phrase,διατυπώνω
phylum,φύλο
physical,φυσικός
physical appearance,φυσική εμφάνιση
physical education,σωματική αγωγή
physical fitness,σωματική υγεία
physically,σωματικά
physician,γιατρός
physics,φυσική
physiotherapy,φυσιοθεραπεία
physique,κράση
pianist,πιανίστας
piano,πιάνο
pich,τσίμπημα
pick,μαζεύω
picket,παλούκι
pickle,τουρσί
pickled,τουρσί
pick on,πειράζω
pick out,διαλέγω
pickpocket,πορτοφολάς
pick pockets,κλέβω
pick soneone's brains,ρωτώ κάποιο για να πάρω ιδέες
pick up,περισυλλέγω
pick up the receiver,σηκώνω το ακουστικό
picnic,πικνίκ
pictorial,παραστατικός
picture,εικόνα
picturesque,γραφικός
pie,πίτα
piece,πούλι
piece in backgammon,το πούλι
piece of advice,μιά συμβουλή
pie in the sky,φρούδες ελπίδες
pier,αποβάθρα
piercing,διαπεραστικός
piety,ευσέβεια
pig,γουρούνι
pigeon,περιστέρι
piggy,γουρανάκι
pig-headed,αγύριστος
pig iron,χυτοσίδηρος
piglet,γουρουνάκι
pigment,χρωστικός
pigmy whale,νανοφάλαινα
pigtail,πλεξούδα
pike,τούρνα
pile,στοίβα
piled,στοιβαγμένος
pile up,συσσωρεύομαι
pile-up,σύγκρουση
pilfer,σουφρώνω
pilgrim,προσκυνητής
pilgrimage,προσκύνημα
pill,χάπι
pillar,κολόνα
pillar of society,στυλοβάτης της κοινωνίας
pillow,μαξιλάρι
pillowcase,μαξιλαροθήκη
pills,χάπια
pilot,πιλότος
pilot study,πειραματική μελέτη
pimp,μαστροπός
pimping,μαστροπεία
pimple,σπυρί
pin,καρφίτσα
pinch,κλέβω
pinching,σφίξιμο
pin down,καρφιτσώνω
pine,πεύκο
pineapple,ανανάς
pine cone,κουκουνάρι πεύκου
pine scented,που ευωδιάζει πεύκο
ping pong,πινγκ-πονγκ
pink,ροζ
pink footed goose,βραχυραμφόχηνα
pinkie,μικρό δάκτυλο
pinnacle,αποκορύφωμα
pinned down,καθηλωμένος
pinpoint,εντοπίζω
pint,περίπου μίσο λίτρο
pintail,σουβλόπαπια
pioneer,πρωτοπόρος
pioneering,πρωτοποριακός
pious,ευσεβής
pip,κουκούτσι
pipe,αυλός
pipeline,αγωγός
piping,σωλήνωση
piping hot,καυτός
piping plover,βροχοπούλι
pipped at the post,ηττημένος την τελευταία στιγμή
piqued,εκνευρισμένος
pirate,πειρατής
Pisces,Ιχθύες
pisces,Ιχθύες
pistil,ύπερος
pistillate,θήλυ άνθος
pistol,πιστόλι
piston,έμβολο
pit,ορυχείο
pitch,γήπεδο
pitch black,κατάμαυρος
pitch dark,πίσσα
pitcher,στάμνα
pitiful,αξιολύπητος
pituitary,υπόφυση
pity,κρίμα
pity about,κρίμα για
pity on,λύπη
pizza,πίτσα
placable,ευδιάλλακτος
placard,πανό
place,τόπος
place all my hopes on,αναθέτω όλες μου τις ελπίδες
place among,εντάσσω
place before,θεωρώ πιο σημαντικό
placed,εγκάθετος
placement,τοποθέτηση
placenta,πλακούντας
place of birth,τόπος γεννήσεως
place of worship,τέμενος
place under arrest,θέτω υπό κράτηση
placing,τοποθέτηση
plagiarist,λογοκλόπος
plagiary,λογοκλοπή
plague,πανώλης
plague stricken,πανουκλιάρης
plaice,χωματίδα
plain,κάμπος
plain clothes policeman,αστυνομικός με πολιτικά
plain sailing,εύκολη πορεία
plaintiff,ενάγων
plait,πτυχή
plan,σχεδιάζω
plane,πλάνη
planet,πλανήτης
planetary,πλανητικός
plane tree,πλάτανος
plan for,σχεδιάζω
plant,εργοστάσιο
plantation,φυτεία
planting,φύτεμα
plaque,πλάκα
plaster,γύψος
plasterer,σοβατζής
plastering,σοβάτισμα
plastic,πλαστικός
plate,πιάτο
plateau,οροπέδιο
platelet,αιμοπετάλιο
platform,πλατφόρμα
platina,λευκόχρυσος
platinum,πλατίνα
platitude,σαχλαμάρα
platoon,διμοιρία
platter,γαβάθρα
plaudit,χειροκρότημα
plausible,εύσχημος
play,θεατρικό έργο
play a few hands of cards,παίζω χαρτιά λίγο
play again,ξαναπαίζω
play a part,παίζω ένα ρόλο
play a role,διαδραματίζω
play a trick on,κάνω φάρσα
play a trick οn someone,κάνω φάρσα
play away,παίζω εκτός έδρας
playback,ξαναπαίξιμο ταινίας
play back,ξαναπαίζω
play dead,κάνω σα να ήμουν πεθαμένος
player,παίκτης
playful,εύθυμος
playground,παιδική χαρά
play group,παιδικός σταθμός
playing,παίξιμο
playing field,γήπεδο
play it by ear,αυτοσχεδιάζω
play off,μπαράζ
play on words,λογοπαίγνιο
play school,παιδικός σταθμός
play the piano,παίζω πιάνο
plaything,παιχνίδι
play truant,κάνω κοπάνα
playwright,συγγραφέας δραματικού έργου
